ret,stdev,strategy
0.09700773497680742,0.1545399407309638,long_only
0.08364593917068261,0.1274395772360655,long_only
0.09114524497577323,0.18613285723924888,long_only
0.07561591266957553,0.10998517537517509,long_only
0.09420788600741668,0.15491796750498987,long_only
0.08321736747115853,0.13074545263710372,long_only
0.08860497020129562,0.1385448582736086,long_only
0.08138317921977355,0.12487671279186646,long_only
0.08835091282964452,0.13683401053917157,long_only
0.09933808365233426,0.15644472566990975,long_only
0.06592310818864833,0.08193261156203828,long_only
0.09194547420689084,0.1349326478967125,long_only
0.0968215445610178,0.1433666496473313,long_only
0.05938069871975555,0.06431442204387341,long_only
0.08587487067009991,0.1254535255965346,long_only
0.08809034820750591,0.16756038698341097,long_only
0.07564394815099094,0.11896050222318814,long_only
0.08447108714668364,0.15584378681514774,long_only
0.08031268015403209,0.11780848976855655,long_only
0.09016776920849623,0.12529861352974292,long_only
0.07289178439735045,0.1223170930299497,long_only
0.07499916214939158,0.10895374296157659,long_only
0.09355247543085872,0.1607533552972826,long_only
0.08423731631208585,0.14484584458910474,long_only
0.08487837840346037,0.1459290057029062,long_only
0.0877130399677108,0.12456707482229447,long_only
0.0843297952079842,0.12487605430957469,long_only
0.0749880487185768,0.11381466849365376,long_only
0.09284170522500072,0.1879035361173088,long_only
0.08127005338171445,0.13092841459580717,long_only
0.09605162858042993,0.17263871828485114,long_only
0.09465058289165873,0.1562514183077194,long_only
0.0845145850949958,0.14820438165686028,long_only
0.08726589205707054,0.12609615331586616,long_only
0.10061664779020982,0.16290728073051974,long_only
0.09710541548706844,0.21553803009739714,long_only
0.07910219512840956,0.12339577557489229,long_only
0.06144587516546659,0.07189950771495879,long_only
0.06519388160018581,0.06577694901746471,long_only
0.08479127062550468,0.15205852445606577,long_only
0.07848179225409706,0.10993414670824879,long_only
0.0810726412655708,0.1333727191171573,long_only
0.07709501244594816,0.11498302297186204,long_only
0.06770679594449287,0.08233488712172615,long_only
0.10045394589156892,0.17045607619616812,long_only
0.10352024499445767,0.16203594067220292,long_only
0.08136731340776211,0.13546604816349825,long_only
0.07357395821144917,0.10387943426927752,long_only
0.08128804997031744,0.13312046011447684,long_only
0.07971674549071374,0.11900316844965406,long_only
0.08880792399156687,0.15198775748696344,long_only
0.08919994878772816,0.14560021604527082,long_only
0.08573023082875351,0.11829392433707088,long_only
0.1073727635749243,0.17425738610703495,long_only
0.09010136783793705,0.16401192757873737,long_only
0.08500707518107872,0.1513420702649384,long_only
0.08223198412335919,0.13430576861978988,long_only
0.07978094625168135,0.13351511561072368,long_only
0.08247335611268274,0.14245159285647957,long_only
0.0708205957722422,0.10788684923996984,long_only
0.08353201660275973,0.1211831393507211,long_only
0.0705820048578176,0.0991063306858911,long_only
0.05929854521922545,0.0514824707508025,long_only
0.0758580933278225,0.10764949459985883,long_only
0.07195731931971293,0.08161331909290707,long_only
0.07882066360558375,0.12761760424527668,long_only
0.07972797568722897,0.12412067452768773,long_only
0.08849230648114992,0.12766752813236962,long_only
0.08886263827975512,0.1388933132995698,long_only
0.08360061549582652,0.14852188616005843,long_only
0.08575182816471925,0.12305149497325592,long_only
0.0793917458658106,0.11323629073129286,long_only
0.09113602760972384,0.14177509993458903,long_only
0.0704727316004467,0.09707069202657818,long_only
0.09291067248235228,0.16986330300221109,long_only
0.07551346908307938,0.10570826875349003,long_only
0.08494770028151065,0.12907094791251852,long_only
0.07838104295971424,0.10563556211311914,long_only
0.08249671137609847,0.13816354702289427,long_only
0.07294370407019074,0.1071683372130588,long_only
0.08449763152079318,0.14618978453941528,long_only
0.08348937944258789,0.1333021020914622,long_only
0.09126663813041667,0.17308846221409827,long_only
0.0913984162049608,0.14488470088697958,long_only
0.08874958203298572,0.16582727382198173,long_only
0.08621494678163723,0.12874119144284343,long_only
0.07829754933564576,0.1212265276055508,long_only
0.08471738849739667,0.12850695069683957,long_only
0.0796261658058757,0.10521630315003752,long_only
0.06707359004542675,0.06804427993908178,long_only
0.07902524884223251,0.11388622765425876,long_only
0.08147205553645999,0.14122860096772974,long_only
0.09171743408576424,0.13529950260444268,long_only
0.09344840656825046,0.18772304207988677,long_only
0.08844657300789448,0.16086854687242608,long_only
0.08014940437642355,0.12140051408220566,long_only
0.06702758543591829,0.0655027270715217,long_only
0.0848590512840098,0.1534709273128546,long_only
0.0783200657150077,0.1300668163266495,long_only
0.08107086464360357,0.14069687698444114,long_only
0.07338800741212956,0.11662764252820494,long_only
0.09370840382392061,0.13760027612121484,long_only
0.062373388386373074,0.07838515897387333,long_only
0.08802070166717717,0.14915336303451118,long_only
0.09006097609876157,0.13615382261335177,long_only
0.08515915053266447,0.1222979828655571,long_only
0.08538600072507657,0.11724560304808075,long_only
