gamma,ret,stdev,weights,name
0.01,10.923863364336817,32.96893369014822,[ 185.76942825  -49.72323376   12.73687696 -161.41778402   13.63471255],Macro_Diversified
0.012067926406393288,9.061298873528072,27.31948167802737,[ 153.95422823  -41.19702884   10.54677432 -133.62668367   11.32270998],Macro_Diversified
0.014563484775012436,7.517898269243639,22.63810679560028,[ 127.59079266  -34.13185076    8.73196159 -110.59778923    9.40688575],Macro_Diversified
0.017575106248547922,6.238970512883792,18.758922588180695,[105.7449223  -28.27734201   7.22813013 -91.51506228   7.81935185],Macro_Diversified
0.021209508879201904,5.179196270572952,15.544468559346948,[ 87.64249972 -23.42604564   5.98199107 -75.7022985    6.50385336],Macro_Diversified
0.025595479226995357,4.301022003824517,12.8808392014082,[ 72.64205807 -19.40605396   4.94938694 -62.59916608   5.41377504],Macro_Diversified
0.030888435964774818,3.573329244376467,10.673647706633131,[ 60.21205051 -16.07491691   4.09372699 -51.7413501    4.51048952],Macro_Diversified
0.0372759372031494,2.9703318984011604,8.844681331677196,[ 49.91201458 -13.31459427   3.38469055 -42.74409936   3.7619885 ],Macro_Diversified
0.04498432668969444,2.4706625056081672,7.329129896659865,[ 41.37696425 -11.02727287   2.79715264 -35.28859256   3.14174854],Macro_Diversified
0.054286754393238594,2.0566150744535596,6.073289209603702,[ 34.30445647  -9.13190051   2.31029359 -29.11064073   2.62779118],Macro_Diversified
0.0655128556859551,1.7135176630082505,5.032658036117995,[ 28.44387402  -7.56131391   1.90686136 -23.99132559   2.20190413],Macro_Diversified
0.07906043210907697,1.4292124726289466,4.170361179638831,[ 23.58754472  -6.25985868   1.57256015 -19.7492421    1.8489959 ],Macro_Diversified
0.09540954763499938,1.193625031336058,3.455842793383381,[ 19.56338255  -5.1814172    1.29554388 -16.23407028   1.55656105],Macro_Diversified
0.1151395399326447,0.9984072007333801,2.863783620919438,[ 16.22878965  -4.28777446   1.06599634 -13.32124855   1.31423702],Macro_Diversified
0.13894954943731375,0.8366413562721008,2.3732037972028763,[ 13.46560334  -3.54726387   0.87578344 -10.90755988   1.11343697],Macro_Diversified
0.16768329368110074,0.7025952583645271,1.9667194172581173,[11.17590898 -2.93364512  0.71816489 -8.9074742   0.94704545],Macro_Diversified
0.20235896477251566,0.5915189281040439,1.6299265283385862,[ 9.27857029 -2.42517437  0.58755541 -7.25011766  0.80916633],Macro_Diversified
0.2442053094548651,0.4994763297984748,1.350890716432006,[ 7.7063543  -2.00383377  0.47932682 -5.87676114  0.69491379],Macro_Diversified
0.29470517025518095,0.42320589591779856,1.1197241992714513,[ 6.40354888 -1.65469292  0.38964398 -4.73873919  0.60023925],Macro_Diversified
0.35564803062231287,0.36000495210008443,0.9282354379996571,[ 5.32398859 -1.36537988  0.31532894 -3.79572552  0.52178787],Macro_Diversified
0.42919342601287763,0.3076339467679411,0.7696388478968011,[ 4.42941875 -1.12564271  0.25374832 -3.01430406  0.45677971],Macro_Diversified
0.517947467923121,0.2642370916923263,0.6383143156804867,[ 3.68813992 -0.92698625  0.20271998 -2.36678481  0.40291116],Macro_Diversified
0.6250551925273969,0.22827660136929595,0.5296079914444606,[ 3.07388458 -0.762371    0.16043572 -1.83022267  0.35827338],Macro_Diversified
0.7543120063354615,0.19847820095480598,0.43966727847601617,[ 2.56488633 -0.62596377  0.12539717 -1.38560433  0.3212846 ],Macro_Diversified
0.9102981779915218,0.1737859718087088,0.36530414360830676,[ 2.1431086  -0.5129309   0.09636273 -1.01717455  0.29063412],Macro_Diversified
1.0985411419875584,0.15332493458112367,0.3038818540602081,[ 1.79360554 -0.41926704  0.07230355 -0.71187788  0.26523582],Macro_Diversified
1.325711365590108,0.13637004395737462,0.2532210449797308,[ 1.50399236 -0.34165315  0.05236709 -0.458896    0.24418971],Macro_Diversified
1.5998587196060574,0.12232049637746328,0.21152165971841766,[ 1.26400648 -0.27733896  0.03584688 -0.2492644   0.22674999],Macro_Diversified
1.9306977288832496,0.11067844031349171,0.17729780448668972,[ 1.06514392 -0.22404547  0.02215753 -0.07555468  0.2122987 ],Macro_Diversified
2.329951810515372,0.10103133469491263,0.14932294946298263,[ 0.9003579  -0.17988421  0.01081395  0.06838862  0.20032374],Macro_Diversified
2.811768697974228,0.0930373303451113,0.12658324224824677,[ 0.76380915 -0.1432903   0.00141417  0.1876662   0.19040078],Macro_Diversified
3.3932217718953264,0.08641315641447946,0.10823707543685139,[ 0.65065902 -0.11296702 -0.00637489  0.2865047   0.18217819],Macro_Diversified
4.094915062380423,0.080924082560729,0.09357961891049846,[ 0.55689798 -0.08783985 -0.01282923  0.36840651  0.1753646 ],Macro_Diversified
4.941713361323833,0.07637560118215306,0.08201192468033901,[ 0.47920357 -0.06701841 -0.01817758  0.43627385  0.16971856],Macro_Diversified
5.963623316594643,0.072606534960332,0.07301535463715626,[ 0.41482266 -0.04976487 -0.02260945  0.49251163  0.16504002],Macro_Diversified
7.196856730011514,0.06948332547520927,0.06613292227561184,[ 0.36147389 -0.03546785 -0.02628188  0.53911266  0.16116318],Macro_Diversified
8.68511373751352,0.06689530050725111,0.06095879347015418,[ 0.31726681 -0.02362072 -0.02932502  0.57772827  0.15795066],Macro_Diversified
10.481131341546853,0.0647507523215851,0.05713529414993928,[ 0.28063494 -0.01380369 -0.0318467   0.60972682  0.15528863],Macro_Diversified
12.648552168552959,0.06297368796649436,0.054354369240783976,[ 0.2502802  -0.00566888 -0.03393626  0.63624218  0.15308276],Macro_Diversified
15.264179671752318,0.061501136431750716,0.05235939112268185,[ 0.22512696  0.00107198 -0.03566777  0.65821395  0.15125488],Macro_Diversified
18.420699693267146,0.06028091724482937,0.05094432309819855,[ 0.20428392  0.00665774 -0.03710257  0.67642069  0.14974022],Macro_Diversified
22.229964825261934,0.05926979143428831,0.049949459492674986,[ 0.18701248  0.01128634 -0.0382915   0.69150758  0.14848511],Macro_Diversified
26.826957952797247,0.058431929338936664,0.04925470278603803,[ 0.17270062  0.01512179 -0.0392767   0.70400921  0.14744507],Macro_Diversified
32.374575428176435,0.05773764096897465,0.04877191830351459,[ 0.16084121  0.01830002 -0.04009309  0.71436861  0.14658325],Macro_Diversified
39.06939937054613,0.057162323928928574,0.04843762851447579,[ 0.15101399  0.02093363 -0.04076957  0.72295284  0.14586911],Macro_Diversified
47.1486636345739,0.05668559162159422,0.04820674647942687,[ 0.14287074  0.02311595 -0.04133014  0.73006611  0.14527734],Macro_Diversified
56.89866029018293,0.05629055084053529,0.04804756915264911,[ 0.13612289  0.02492432 -0.04179465  0.73596047  0.14478698],Macro_Diversified
68.66488450042998,0.05596320315232791,0.047937964162079225,[ 0.13053134  0.02642281 -0.04217956  0.74084478  0.14438064],Macro_Diversified
82.86427728546842,0.05569194885628419,0.047862558679119205,[ 0.12589794  0.02766452 -0.04249852  0.74489213  0.14404393],Macro_Diversified
100.0,0.05546717594426177,0.047810712724571124,[ 0.1220585   0.02869345 -0.04276282  0.74824594  0.14376492],Macro_Diversified
