gamma,ret,stdev,weights,name
0.01,9.894334959969136,31.366916826228362,[ 176.61056967  -42.30228876   13.3078359  -149.44073142    2.82461461],Macro_Diversified
0.012067926406393288,8.208383327453374,25.99198230926755,[ 146.36529535  -35.04737636   11.01963269 -123.70238006    2.36482838],Macro_Diversified
0.014563484775012436,6.811331691786634,21.53808443295451,[ 121.30276737  -29.03564564    9.12352964 -102.37448122    1.98382985],Macro_Diversified
0.017575106248547922,5.653674950586562,17.847397484374223,[100.53488469 -24.05406842   7.55233754 -84.70127198   1.66811817],Macro_Diversified
0.021209508879201904,4.694391058544632,14.789140445413283,[ 83.3257288  -19.92612046   6.25038057 -70.05649488   1.40650597],Macro_Diversified
0.025595479226995357,3.8994873942881667,12.254942713301197,[ 69.06548615 -16.50552622   5.17152334 -57.92120617   1.1897229 ],Macro_Diversified
0.030888435964774818,3.240796217786337,10.155003943483058,[ 57.24883913 -13.67107552   4.27753609 -47.86538689   1.01008719],Macro_Diversified
0.0372759372031494,2.69497653483495,8.414911937264554,[ 47.45705998 -11.32232843   3.53674001 -39.53270491   0.86123335],Macro_Diversified
0.04498432668969444,2.2426869992754486,6.973005814758134,[ 39.34317296  -9.37605613   2.9228847  -32.62788821   0.73788669],Macro_Diversified
0.054286754393238594,1.8679005443962635,5.778191036065537,[ 32.61965911  -7.76329166   2.41421793 -26.90626176   0.63567638],Macro_Diversified
0.0655128556859551,1.5573364571967985,4.788128845054896,[ 27.04826796  -6.42688603   1.99271489 -22.16507735   0.55098054],Macro_Diversified
0.07906043210907697,1.2999897708307508,3.967735977899754,[ 22.43157495  -5.31948317   1.64343944 -18.23632915   0.48079794],Macro_Diversified
0.09540954763499938,1.0867412990554253,3.2879414728891327,[ 18.60598564  -4.40184179   1.35401486 -14.98080035   0.42264164],Macro_Diversified
0.1151395399326447,0.9100344940964943,2.7246565284754287,[ 15.43593872  -3.64144489   1.11418528 -12.28312994   0.37445084],Macro_Diversified
0.13894954943731375,0.7636076772530335,2.2579209059225773,[ 12.80910224  -3.0113475    0.91545223 -10.04772485   0.33451788],Macro_Diversified
0.16768329368110074,0.6422721537235846,1.8711956287487435,[10.63239318 -2.48922185  0.75077352 -8.19537258  0.30142773],Macro_Diversified
0.20235896477251566,0.5417283490603659,1.5507769150710025,[ 8.82867895 -2.0565662   0.6143137  -6.66043426  0.27400781],Macro_Diversified
0.2442053094548651,0.45841345197087685,1.285310574592874,[ 7.33404419 -1.69804923  0.50123725 -5.38851871  0.25128649],Macro_Diversified
0.29470517025518095,0.3893751646265405,1.0653896614487228,[ 6.09552589 -1.40096673  0.40753728 -4.33455508  0.23245864],Macro_Diversified
0.35564803062231287,0.3321670867683906,0.8832211233957493,[ 5.06923666 -1.15479146  0.32989347 -3.46119574  0.21685707],Macro_Diversified
0.42919342601287763,0.2847620265023271,0.7323496311436535,[ 4.21880951 -0.9508001   0.26555449 -2.73749283  0.20392895],Macro_Diversified
0.517947467923121,0.24548016591611246,0.6074287950228149,[ 3.51410919 -0.78176414  0.21224045 -2.13780165  0.19321615],Macro_Diversified
0.6250551925273969,0.21292953603706047,0.504031650594477,[ 2.93016436 -0.64169371  0.16806217 -1.64087189  0.18433907],Macro_Diversified
0.7543120063354615,0.1859566918359164,0.41849367820012384,[ 2.44628271 -0.52562536  0.13145415 -1.22909463  0.17698314],Macro_Diversified
0.9102981779915218,0.1636058394253028,0.34778276077249787,[ 2.04531767 -0.42944616  0.10111918 -0.88787838  0.1708877 ],Macro_Diversified
1.0985411419875584,0.14508496710810637,0.2893914168378948,[ 1.71306089 -0.34974797  0.07598232 -0.605132    0.16583676],Macro_Diversified
1.325711365590108,0.12973778011549703,0.24124740075444562,[ 1.4377387  -0.28370663  0.05515285 -0.37083626  0.16165133],Macro_Diversified
1.5998587196060574,0.11702044453042193,0.20163936323989937,[ 1.20959497 -0.22898196  0.03789266 -0.17668878  0.15818311],Macro_Diversified
1.9306977288832496,0.10648231630788169,0.1691547345280642,[ 1.02054531 -0.18363475  0.02359013 -0.01580988  0.15530919],Macro_Diversified
2.329951810515372,0.09774997251685777,0.14262736171181536,[ 0.86389068 -0.14605811  0.01173844  0.11750126  0.15292774],Macro_Diversified
2.811768697974228,0.09051397894434333,0.12109276020149969,[ 0.73407995 -0.11492051  0.00191762  0.22796857  0.15095437],Macro_Diversified
3.3932217718953264,0.08451792516605627,0.10374923520621883,[ 0.62651323 -0.08911855 -0.00622033  0.31950651  0.14931915],Macro_Diversified
4.094915062380423,0.07954933853703067,0.08992374770963571,[ 0.53737884 -0.06773795 -0.01296378  0.39535876  0.14796413],Macro_Diversified
4.941713361323833,0.07543215513558621,0.07904235184139667,[ 0.46351827 -0.05002107 -0.0185517   0.45821318  0.14684131],Macro_Diversified
5.963623316594643,0.07202048086546195,0.07060615931060314,[ 0.40231425 -0.03534011 -0.02318208  0.51029705  0.14591089],Macro_Diversified
7.196856730011514,0.06919342163818926,0.0641744538276057,[ 0.35159798 -0.02317483 -0.02701902  0.55345596  0.14513991],Macro_Diversified
8.68511373751352,0.06685079944107757,0.059355924584404675,[ 0.30957231 -0.01309416 -0.03019846  0.58921928  0.14450104],Macro_Diversified
10.481131341546853,0.064909602487912,0.05580688609832512,[ 0.27474804 -0.00474089 -0.03283309  0.6188543   0.14397164],Macro_Diversified
12.648552168552959,0.0633010436619838,0.05323310351853053,[ 0.24589116  0.00218099 -0.03501626  0.64341115  0.14353296],Macro_Diversified
15.264179671752318,0.061968123016166825,0.051391230672936286,[ 0.22197911  0.00791676 -0.03682532  0.66376     0.14316945],Macro_Diversified
18.420699693267146,0.06086360795622177,0.05008730494417654,[ 0.20216457  0.01266966 -0.03832439  0.68062193  0.14286823],Macro_Diversified
22.229964825261934,0.05994835953428911,0.04917194745244721,[ 0.18574539  0.01660811 -0.03956658  0.69459444  0.14261863],Macro_Diversified
26.826957952797247,0.059189945544088005,0.04853342231176636,[ 0.17213976  0.01987169 -0.04059591  0.70617267  0.1424118 ],Macro_Diversified
32.374575428176435,0.05856149127227595,0.04809007059455713,[ 0.16086555  0.02257602 -0.04144886  0.71576688  0.14224041],Macro_Diversified
39.06939937054613,0.05804072718186924,0.04778326166213476,[ 0.15152326  0.02481695 -0.04215565  0.72371705  0.14209839],Macro_Diversified
47.1486636345739,0.057609199781991485,0.0475714458499346,[ 0.14378183  0.02667388 -0.04274133  0.73030491  0.1419807 ],Macro_Diversified
56.89866029018293,0.057251617720794,0.04742545495441376,[ 0.13736696  0.02821261 -0.04322664  0.73576389  0.14188318],Macro_Diversified
68.66488450042998,0.056955309930080224,0.047324949685449036,[ 0.13205132  0.02948767 -0.0436288   0.74028743  0.14180238],Macro_Diversified
82.86427728546842,0.05670977662076473,0.047255814078387984,[ 0.12764655  0.03054424 -0.04396204  0.74403583  0.14173542],Macro_Diversified
100.0,0.05650631721850533,0.04720828356438542,[ 0.12399658  0.03141976 -0.04423818  0.74714192  0.14167993],Macro_Diversified
