gamma,ret,stdev,weights,name
0.01,11.789714847893478,34.26094963159698,[  89.94342374  -39.81759028   78.83870941 -127.96454287],AI_Infra_Balanced
0.012067926406393288,9.778305804546587,28.39010053912703,[  74.53467303  -32.87181719   65.33891685 -106.00177268],AI_Infra_Balanced
0.014563484775012436,8.111566237522634,23.525266398389842,[ 61.76632311 -27.11625251  54.1524113  -87.80248189],AI_Infra_Balanced
0.017575106248547922,6.7304345410772894,19.494059800022658,[ 51.18592222 -22.34694544  44.88279433 -72.72177111],AI_Infra_Balanced
0.021209508879201904,5.585969742457326,16.15363327132217,[ 42.4185495  -18.3948936   37.20159321 -60.22524911],AI_Infra_Balanced
0.025595479226995357,4.637617258294299,13.385617416979187,[ 35.15352945 -15.12005441  30.83662142 -49.87009647],AI_Infra_Balanced
0.030888435964774818,3.85177182617382,11.091926450604955,[ 29.1334231  -12.40638258  25.56233355 -41.28937407],AI_Infra_Balanced
0.0372759372031494,3.2005866882663194,9.191282484322034,[ 24.14490548 -10.15771803  21.19183302 -34.17902047],AI_Infra_Balanced
0.04498432668969444,2.6609868299488895,7.616335413181009,[ 20.0112064   -8.2943784   17.57024935 -28.28707735],AI_Infra_Balanced
0.054286754393238594,2.2138513071207386,6.311276336310336,[ 16.58584654  -6.75033549  14.56925021 -23.40476126],AI_Infra_Balanced
0.0655128556859551,1.8433356876425893,5.2298599453803645,[ 13.74744684  -5.47087548  12.08249396 -19.35906532],AI_Infra_Balanced
0.07906043210907697,1.5363105973322457,4.3337658028804205,[ 11.39542745  -4.4106602   10.02186137 -16.00662861],AI_Infra_Balanced
0.09540954763499938,1.2818964751615225,3.5912404413944596,[  9.44644357  -3.53212047   8.31433306 -13.22865617],AI_Infra_Balanced
0.1151395399326447,1.071078051512584,2.9759721660442895,[  7.83143217  -2.80412487   6.89940207 -10.92670938],AI_Infra_Balanced
0.13894954943731375,0.896384888371274,2.466158688158877,[ 6.49316465 -2.20087657  5.72692973 -9.01921781],AI_Infra_Balanced
0.16768329368110074,0.7516266612671034,2.043734551206441,[ 5.38421893 -1.70099923  4.755369   -7.4385887 ],AI_Infra_Balanced
0.20235896477251566,0.6316738025659747,1.6937309721972977,[ 4.46529908 -1.28677949  3.95029223 -6.12881182],AI_Infra_Balanced
0.2442053094548651,0.5322757331200255,1.403745413728504,[ 3.70384279 -0.94353929  3.28317117 -5.04347467],AI_Infra_Balanced
0.29470517025518095,0.4499102412379319,1.163502089782508,[ 3.07286754 -0.65911578  2.73036613 -4.14411789],AI_Infra_Balanced
0.35564803062231287,0.38165867165721357,0.964487829952388,[ 2.55001445 -0.4234303   2.27228823 -3.39887239],AI_Infra_Balanced
0.42919342601287763,0.3251025017881629,0.7996503958786908,[ 2.11675602 -0.22813123  1.89270529 -2.78133009],AI_Infra_Balanced
0.517947467923121,0.2782376403658322,0.663148554545596,[ 1.75773956 -0.06629806  1.57816663 -2.26960813],AI_Infra_Balanced
0.6250551925273969,0.23940341164738155,0.5501450433948109,[ 1.46024316  0.06780382  1.31752644 -1.84557342],AI_Infra_Balanced
0.7543120063354615,0.20722370868045148,0.45663507576765217,[ 1.21372492  0.17892638  1.10154883 -1.49420013],AI_Infra_Balanced
0.9102981779915218,0.1805582303842945,0.37930428391479176,[ 1.00944936  0.27100728  0.92258055 -1.20303719],AI_Infra_Balanced
1.0985411419875584,0.15846207450947053,0.3154110224047027,[ 0.84017789  0.34730946  0.77427977 -0.96176712],AI_Infra_Balanced
1.325711365590108,0.14015225463592718,0.2626887900533385,[ 0.69991231  0.4105367   0.65139141 -0.76184042],AI_Infra_Balanced
1.5998587196060574,0.12497995472544428,0.21926519922654608,[ 0.58368226  0.4629295   0.54956085 -0.59617261],AI_Infra_Balanced
1.9306977288832496,0.11240753805703889,0.18359444951189882,[ 0.48736906  0.50634442  0.4651797  -0.45889318],AI_Infra_Balanced
2.329951810515372,0.101989495847447,0.1544006738331194,[ 0.40755983  0.54231988  0.39525786 -0.34513756],AI_Infra_Balanced
2.811768697974228,0.09335666046317367,0.1306298625209275,[ 0.34142648  0.57213068  0.33731764 -0.2508748 ],AI_Infra_Balanced
3.3932217718953264,0.08620312381275134,0.11140841765342416,[ 0.28662556  0.59683318  0.28930589 -0.17276464],AI_Infra_Balanced
4.094915062380423,0.0802753973670278,0.09600688319899248,[ 0.24121518  0.61730274  0.24952131 -0.10803922],AI_Infra_Balanced
4.941713361323833,0.07536342968831938,0.0838081877868398,[ 0.20358619  0.63426468  0.2165541  -0.05440497],AI_Infra_Balanced
5.963623316594643,0.07129316317086185,0.07428083013460526,[ 0.1724052   0.64832008  0.18923606 -0.00996133],AI_Infra_Balanced
7.196856730011514,0.06792036623757827,0.06695843048169715,[0.1465673  0.65996698 0.16659916 0.02686656],AI_Infra_Balanced
8.68511373751352,0.06512552243450638,0.06142712833690389,[0.12515691 0.6696181  0.14784126 0.05738373],AI_Infra_Balanced
10.481131341546853,0.06280959531583313,0.05732081431738952,[0.10741535 0.67761543 0.13229766 0.08267156],AI_Infra_Balanced
12.648552168552959,0.060890519046486416,0.0543217687135497,[0.09271393 0.68424236 0.11941757 0.10362614],AI_Infra_Balanced
15.264179671752318,0.05930029036533533,0.05216272584315754,[0.0805317  0.68973372 0.10874457 0.12099001],AI_Infra_Balanced
18.420699693267146,0.05798255886151321,0.05062693203267859,[0.07043699 0.69428409 0.09990047 0.13537844],AI_Infra_Balanced
22.229964825261934,0.0568906301743081,0.049544821180393196,[0.06207208 0.69805473 0.09257188 0.14730132],AI_Infra_Balanced
26.826957952797247,0.05598581135918288,0.04878789472081909,[0.05514056 0.70117924 0.08649908 0.15718112],AI_Infra_Balanced
32.374575428176435,0.05523603978728643,0.0482612780816285,[0.0493968  0.70376834 0.08146691 0.16536795],AI_Infra_Balanced
39.06939937054613,0.05461474699294253,0.04789632462483209,[0.04463728 0.70591378 0.07729704 0.17215191],AI_Infra_Balanced
47.1486636345739,0.05409991720908277,0.04764411097561822,[0.04069333 0.70769158 0.0738417  0.17777338],AI_Infra_Balanced
56.89866029018293,0.05367330722943704,0.047470152799278076,[0.03742521 0.70916475 0.07097846 0.18243158],AI_Infra_Balanced
68.66488450042998,0.05331979995297593,0.04735033453952328,[0.03471711 0.71038547 0.06860586 0.18629156],AI_Infra_Balanced
82.86427728546842,0.05302686870318487,0.04726788559311389,[0.03247306 0.71139702 0.06663982 0.1894901 ],AI_Infra_Balanced
100.0,0.05278413334010225,0.04721118874075263,[0.03061354 0.71223523 0.06501067 0.19214056],AI_Infra_Balanced
